,Code,Meaning,Local Reference,2015,2016,2017,2018,2019,2020,2021,2022,EU
92,10YIT-GRTN-----B,"Italy (IT), CTA|IT, SCA|IT, MBA|IT, LFB|IT, LFA|IT",IT,0.0943,0.086,0.0821,0.08885,0.0941,0.0867,0.1171,0.2354,YES
93,10YLT-1001A0008Q,"MBA|LT, SCA|LT, CTA|LT, Lithuania (LT), BZN|LT",LT,0.0818,0.07535,0.0691,0.07315,0.0843,0.0886,0.1113,0.1758,YES
94,10YLU-CEGEDEL-NQ,"Luxembourg (LU), CTA|LU",LU,0.0842,0.07755,0.07075,0.075,0.0819,0.0828,0.08455,0.123,YES
95,10YLV-1001A00074,"CTA|LV, Latvia (LV), BZN|LV, SCA|LV, MBA|LV",LV,0.091,0.0915,0.0901,0.0822,0.08455,0.0826,0.102,0.0849,YES
96,10YMK-MEPSO----8,"MBA|MK, SCA|MK, BZN|MK, North Macedonia (MK), CTA|MK, LFA|MK",MK,0.085484615,0.080773077,0.076301923,0.079803846,0.083959615,0.082836538,0.098646154,0.162338462,NO
97,10YNL----------L,"LFA|NL, LFB|NL, CTA|NL, Netherlands (NL), BZN|NL, SCA|NL, MBA|NL",NL,0.0722,0.06545,0.0605,0.0617,0.06815,0.0689,0.08,0.1339,YES
98,10YNO-0--------C,"MBA|NO, SCA|NO, Norway (NO), CTA|NO",NO,0.0617,0.0631,0.06425,0.06655,0.0694,0.0612,0.08405,0.1111,YES
99,10YNO-1--------2,"BZN|NO1, IBA|NO1, IPA|NO1, SCA|NO1, MBA|NO1",NO_1,0.0617,0.0631,0.06425,0.06655,0.0694,0.0612,0.08405,0.1111,YES
100,10YNO-2--------T,"MBA|NO2, SCA|NO2, IPA|NO2, IBA|NO2, BZN|NO2",NO_2,0.0617,0.0631,0.06425,0.06655,0.0694,0.0612,0.08405,0.1111,YES
101,10YNO-3--------J,"BZN|NO3, IBA|NO3, IPA|NO3, SCA|NO3, MBA|NO3",NO_3,0.0617,0.0631,0.06425,0.06655,0.0694,0.0612,0.08405,0.1111,YES
102,10YNO-4--------9,"MBA|NO4, SCA|NO4, IPA|NO4, IBA|NO4, BZN|NO4",NO_4,0.0617,0.0631,0.06425,0.06655,0.0694,0.0612,0.08405,0.1111,YES
103,10YPL-AREA-----S,"BZN|PL, Poland (PL), CTA|PL, SCA|PL, MBA|PL, BZA|PL, LFA|PL",PL,0.0833,0.07655,0.0662,0.06485,0.07125,0.0792,0.0708,0.0987,YES
104,10YPT-REN------W,"LFA|PT, LFB|PT, MBA|PT, SCA|PT, CTA|PT, Portugal (PT), BZN|PT",PT,0.0989,0.09455,0.0836,0.07975,0.08645,0.07875,0.08235,0.1351,YES
105,10YRO-TEL------P,"BZN|RO, Romania (RO), CTA|RO, SCA|RO, MBA|RO, LFB|RO, LFA|RO",RO,0.0707,0.0639,0.065,0.0722,0.0837,0.0869,0.0977,0.2149,YES
106,10YSE-1--------K,"MBA|SE, SCA|SE, CTA|SE, Sweden (SE)",SE,0.0617,0.0631,0.06425,0.06655,0.0694,0.0612,0.08405,0.1111,YES
107,10YSI-ELES-----O,"Slovenia (SI), BZN|SI, CTA|SI, SCA|SI, MBA|SI, LFA|SI",SI,0.0714,0.0672,0.0619,0.06935,0.07885,0.081,0.07845,0.1435,YES
108,10YSK-SEPS-----K,"LFA|SK, LFB|SK, MBA|SK, SCA|SK, CTA|SK, BZN|SK, Slovakia (SK)",SK,0.1081,0.1057,0.07385,0.08045,0.09365,0.09745,0.0964,0.1892,YES
109,10YTR-TEIAS----W,"Turkey (TR), BZN|TR, CTA|TR, SCA|TR, MBA|TR, LFB|TR, LFA|TR",TR,0.085484615,0.080773077,0.076301923,0.079803846,0.083959615,0.082836538,0.098646154,0.162338462,NO
110,10YUA-WEPS-----0,"LFA|UA-BEI, LFB|UA-BEI, MBA|UA-BEI, SCA|UA-BEI, CTA|UA-BEI, BZN|UA-BEI",UA_BEI,0.0833,0.07655,0.0662,0.06485,0.07125,0.0792,0.0708,0.0987,NO
111,11Y0-0000-0265-K,BZN|GB(ElecLink),GB_ELECLINK,0.1294,0.11565,0.1094,0.12055,0.12835,0.12585,0.1578,0.2104,YES
112,17Y0000009369493,BZN|GB(IFA2),GB_IFA2,0.1294,0.11565,0.1094,0.12055,0.12835,0.12585,0.1578,0.2104,YES
113,46Y000000000007M,BZN|DK1-NO1,DK_1_NO_1,0.0591,0.06105,0.06225,0.0622,0.0626,0.05775,0.09375,0.1595,YES
114,50Y0JVU59B4JWQCU,BZN|NO2NSL,NO_2_NSL,0.0617,0.0631,0.06425,0.06655,0.0694,0.0612,0.08405,0.1111,YES
115,BY,Belarus (BY),BY,0.085484615,0.080773077,0.076301923,0.079803846,0.083959615,0.082836538,0.098646154,0.162338462,NO
116,RU,Russia (RU),RU,0.085484615,0.080773077,0.076301923,0.079803846,0.083959615,0.082836538,0.098646154,0.162338462,NO
117,IS,Iceland (IS),IS,0.085484615,0.080773077,0.076301923,0.079803846,0.083959615,0.082836538,0.098646154,0.162338462,NO
